KTKZ,OHW,ORTNAME,GHW,GDENR,GDENAMK,PHW,PLZ4,PLZZ,PLZNAMK
TG,,Aadorf,,4551,Aadorf,,8355,0,Aadorf,54e9b1e8913eab9323220c2b02e3d2d7
AG,,Aarau,,4001,Aarau,!,5000,0,Aarau,52ee0d80340ff1e6d4323c5c624447b9
BE,,Aarberg,,301,Aarberg,,3270,0,Aarberg,646192e901e965a4a5ffa434a2919f10
AG,,Aarburg,,4271,Aarburg,,4663,0,Aarburg,854b61b53796dc86c40d80f36dca59d1
BE,,Aarwangen,,321,Aarwangen,,4912,0,Aarwangen,565a4b49f8cb60b3e3112358407e1b4c
ZH,,Aathal,,119,Seegräben,,8607,0,Aathal-Seegräben,65a0679ad236f57ca3341625ea7bc3db
TG,,Aawangen,,4551,Aadorf,,8522,2,Aawangen,6b096715428431e34c7285aa0ac0c7c0
BE,,Abländschen,,843,Saanen,,1657,0,Abländschen,b1ab89a85496776b3a1ed91dc7689910
SG,,Abtwil,,3442,Gaiserwald,,9030,0,"Abtwil SG",fbbf9496b0fc1eda5d92ec730e1d1914
AG,,Abtwil,,4221,Abtwil,,5646,0,"Abtwil AG",01d60567f2b18c4a25124edb6eb158a9
BE,,Achseten,,563,Frutigen,,3725,0,Achseten,f8d33d91fcbe845a721c7485d9547420
GR,,Acla,,3983,"Medel (Lucmagn)",,7185,0,Platta,94e7c918b4316bc15674a7571f3d5428
GR,,"Acla (Safien)",,3672,Safiental,,7104,0,Versam,4a1e72a1e868bd70317acd74c6440879
VD,,Aclens,,5621,Aclens,,1123,0,Aclens,557b75ea502d1bf26fc5c99b99aeed83
TI,,Acquacalda,,5049,Blenio,,6718,0,Olivone,2efa55d8e51362fa08701e38173b92da
TI,,Acquarossa,,5048,Acquarossa,,6716,0,Acquarossa,a11f7574ac0adf6c4e4d8d12e07679a1
BE,,Adelboden,,561,Adelboden,,3715,0,Adelboden,42c4831bd93f836c61ac164f7666c9af
LU,,Adelboden,,1147,Wikon,,4806,0,Wikon,ed961d45dc2b25489efcc0b89596dd28
ZH,,Adetswil,,111,Bäretswil,,8345,0,Adetswil,8f6a240ab9c7d49172301c4f2556ce64
LU,,Adligenswil,,1051,Adligenswil,,6043,0,Adligenswil,1b109c1294bae79170e6856e1e7b53dc
ZH,,"Adlikon bei Andelfingen",,21,Adlikon,,8452,0,Adlikon,bd141a42861871a19c20425eae8588d0
ZH,,"Adlikon bei Regensdorf",,96,Regensdorf,,8106,2,"Adlikon b.Regensdf",c4c922ae08b67926905a022778efe982
ZH,,Adliswil,,131,Adliswil,,8134,0,Adliswil,344983c7e88b10d15de0f433ce0f59cf
BE,,"Aebersold (Ringgis)",,629,Oberhünigen,,3673,0,Linden,a579d441bba92111027caf7ca04ef7b5
SO,,Aedermannsdorf,,2421,Aedermannsdorf,,4714,0,Aedermannsdorf,8300bb6f4bb5275805b4cb79b4d70cb5
BE,,Aefligen,,401,Aefligen,,3426,0,Aefligen,3ec3550ac32ab8afcc426b8c488c4972
BE,,Aegerten,,731,Aegerten,,2558,0,Aegerten,546bed5acc6af1043f9501b7fa3b1884
BE,,Aekenmatt,,855,Schwarzenburg,,3147,0,Mittelhäusern,3a2da08b08438ebf7aa703baea2f02de
LU,,Aesch,,1021,"Aesch (LU)",,6287,0,"Aesch LU",be0ef00a0a814444feb244be917d71da
BL,,Aesch,,2761,"Aesch (BL)",,4147,0,"Aesch BL",4a8e4e1998ad3365ed408e86bd54a14b
ZH,,"Aesch (ZH)",,241,"Aesch (ZH)",,8904,0,"Aesch ZH",d370d74d88fbbbb7ae7c8a2795b38de6
ZH,,"Aesch bei Maur",,195,Maur,,8127,0,Forch,f986884d4200079e6beaffc72fea2333
ZH,,"Aesch bei Neftenbach",,223,Neftenbach,,8412,0,"Aesch (Neftenbach)",f9a2aafd37003043b2f6e6de0b763968
BE,,Aeschau,,901,Eggiwil,,3536,0,Aeschau,21d03c0048f38ce27151b3240bfa382f
SO,,Aeschi,,2511,"Aeschi (SO)",,4556,0,"Aeschi SO",a6a473cc00f2bf1afee58876f2a86f0e
BE,,"Aeschi bei Spiez",,562,"Aeschi bei Spiez",,3703,0,"Aeschi b. Spiez",1c0692c00f5ae078abfd116cd771fe86
BE,,Aeschiried,,562,"Aeschi bei Spiez",,3703,41,Aeschiried,63f7f9b6cef700eb05eefbc6cb2e74a9
BE,,"Aeschlen bei Oberdiessbach",,619,Oberdiessbach,,3672,2,Aeschlen,3ddaf337fb823b8b1e5ecb339e8eb3ef
BE,,"Aeschlen bei Sigriswil",,938,Sigriswil,,3656,1,"Aeschlen ob Gunten",323f271474b18698acb1b30bcde3e97d
SO,,Aetigkofen,,2465,Buchegg,,4583,2,Aetigkofen,4eb8ee6287705f47e623c653b414f99d
SO,,Aetingen,,2465,Buchegg,,4587,0,Aetingen,37d4c32c1bd2de138653291a8fdd10d2
AG,,Aettenschwil,,4239,Sins,,5645,0,Aettenschwil,4f7700128d73616482714528dd26b465
ZH,,"Aeugst am Albis",,1,"Aeugst am Albis",,8914,0,"Aeugst am Albis",f2455bd493cf5a8c9c595b3fbc7aa042
ZH,,Aeugstertal,,1,"Aeugst am Albis",,8914,2,Aeugstertal,2efc5de82fb16d872d1cbd6b52f13da1
SG,,Aeugustisried,,3274,Sennwald,,9466,0,Sennwald,87a387602da955a434eabf09578be335
GR,,Aeuja,,3871,Klosters-Serneus,,7250,0,Klosters,67c6e07d6204fa9e0214a23c557b129d
GR,,Affeier,,3988,"Obersaxen Mundaun",,7134,0,Obersaxen,82cc9b23f0bcc07ffb697d5ab83c6894
TG,,Affeltrangen,,4711,Affeltrangen,,9556,0,Affeltrangen,1e588f99280a26c8cd0a6467cb07c472
ZH,,"Affoltern am Albis",,2,"Affoltern am Albis",,8910,0,"Affoltern am Albis",c7055557ed483a5853b7791801943a5a
ZH,Q,"Affoltern bei Zürich",,261,Zürich,!,8000,0,Zürich,e5da6dedfa874d953fb1f29fe15399a3
BE,,"Affoltern im Emmental",,951,"Affoltern im Emmental",,3416,0,"Affoltern BE",48959557e8ef5c653cfffadef99cc85d
VS,,Agarn,,6101,Agarn,,3951,0,Agarn,73b91c939037c5b9f1dd3b740c1ad0dc
TI,,Agarone,,5138,Cugnasco-Gerra,,6597,0,Agarone,425988d9ba92664e806a856ecf5e34c9
ZH,,Agasul,,296,Illnau-Effretikon,,8308,2,Agasul,fa08cf4999e26056eae60381dce9bdc9
BE,,Ägerten,,345,Wynau,,4923,0,Wynau,5a2052390df4cd6b927b5bd159ed0c8c
